% ITASE_2000_4					
% Water isotope data from the University of Washington					
% Eric J. Steig and David P. Schneider					
%					
% Citation:					
% Steig EJ, Ding Q, White JCW, Kuettel M, Rupper SB, Neumann TA, Neff PD,					
% Gallant AJE, Mayewski PA, Taylor KC, Hoffmann G, Dixon DA, Schoenemann S, Markle BM, 					
% Schneider DP, Fudge TJ, Schauer AJ, Teel RP, Vaughn B, Burgener L, Williams J,					
% Korotkikh E. Recent climate and ice-sheet changes in West Antarctica compared					
% with the past 2000 years. Nature Geoscience 6: 372-375, doi: 10.1038/NGEO1778 (2013).					
%					
% Depths are given in meters. Age in calendar years.					
% Ages refer to nominal Jan 1st (that is, 2000.0 means midnight of Dec 31, 1999)					
%					
% Isotope ratios are normalized on the V-SMOW / SLAP scale.					
% Precision is <0.1 per mil and <1 per mil for d18O and delD, respectively.  Analysis via CO2 equilibration (d18O), reduction on Cr (dD) or laser spectroscopy (dD).					
%					
% Core ITASE_2000_4, Location 120.0764 W, 78.0829 S, elevation 1697 m					
% Core depth = 58 m.  Analyzed to 20 m.					
%					
% Depth_top	Depth_bottom	Age_top	Age_bottom	dD (per mil)	d18O (per mil)
7.11	7.139516	1984.3333	1984.2263	-273.269539	-34.37916
7.139516	7.169032	1984.2263	1984.1193	-270.339938	-34.072513
7.169032	7.198548	1984.1193	1984.0123	-265.468448	-33.601955
7.198548	7.228064	1984.0123	1983.9344	-258.941754	-32.985093
7.228064	7.25758	1983.9344	1983.8603	-258.902808	-32.712754
7.25758	7.287096	1983.8603	1983.7862	-257.778785	-32.715826
7.287096	7.316612	1983.7862	1983.7121	-263.396739	-33.010626
7.316612	7.346128	1983.7121	1983.6381	-268.647952	-33.594273
7.346128	7.375644	1983.6381	1983.564	-273.198138	-34.070354
7.375644	7.40516	1983.564	1983.4899	-277.287464	-34.439827
7.40516	7.434676	1983.4899	1983.4158	-279.187161	-34.628786
7.434676	7.464192	1983.4158	1983.3417	-277.138171	-34.46734
7.464192	7.493708	1983.3417	1983.2676	-272.395418	-33.883503
7.493708	7.523224	1983.2676	1983.1935	-266.20324	-33.361031
7.523224	7.55274	1983.1935	1983.1194	-258.448393	-32.40561
7.55274	7.582256	1983.1194	1983.0453	-247.220722	-31.270521
7.582256	7.611772	1983.0453	1982.9751	-241.405131	-30.278776
7.611772	7.641288	1982.9751	1982.9109	-238.00953	-30.037315
7.641288	7.670804	1982.9109	1982.8467	-238.420656	-30.15376
7.670804	7.70032	1982.8467	1982.7825	-244.192743	-30.69722
7.70032	7.729836	1982.7825	1982.7183	-254.154404	-31.572646
7.729836	7.759352	1982.7183	1982.654	-264.613116	-32.889467
7.759352	7.788868	1982.654	1982.5898	-276.159463	-34.110464
7.788868	7.818384	1982.5898	1982.5256	-286.171156	-35.060728
7.818384	7.8479	1982.5256	1982.4614	-289.095809	-35.748141
7.8479	7.877416	1982.4614	1982.3972	-291.788797	-36.123577
7.877416	7.906932	1982.3972	1982.333	-290.63264	-36.213301
7.906932	7.936448	1982.333	1982.2688	-289.421013	-36.152126
7.936448	7.965964	1982.2688	1982.2046	-285.969943	-35.838302
7.965964	7.99548	1982.2046	1982.1404	-281.878255	-35.43502
7.99548	8.024996	1982.1404	1982.0761	-276.654337	-34.974922
8.024996	8.044996	1982.0761	1982.0326	-275.170801	-34.77766
8.06	8.09016	1982	1981.886	-279.052575	-35.160426
8.09016	8.12032	1981.886	1981.7721	-285.227087	-35.934752
8.12032	8.15048	1981.7721	1981.6581	-295.930517	-36.792255
8.15048	8.18064	1981.6581	1981.5441	-300.570374	-37.224767
8.18064	8.2108	1981.5441	1981.4301	-296.35687	-36.758898
8.2108	8.24096	1981.4301	1981.3162	-286.819386	-35.602324
8.24096	8.27112	1981.3162	1981.2022	-268.428543	-33.727918
8.27112	8.30128	1981.2022	1981.0882	-253.691071	-31.734937
8.30128	8.33144	1981.0882	1980.9867	-242.541711	-30.698468
8.33144	8.3616	1980.9867	1980.9277	-235.313279	-29.830113
8.3616	8.39176	1980.9277	1980.8688	-230.92793	-29.334279
